ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,925.1111111111111,414.8888888888889,0,1
1,2,915.3157894736842,418.7368421052632,0,2
1,3,969.6,425.8666666666667,0,3
1,4,976.2727272727273,428.3181818181818,0,4
1,5,978.8888888888889,430.55555555555554,0,5
1,6,970.3409090909091,431.65909090909093,0,6
1,7,948.1578947368421,433.7894736842105,0,7
1,8,977.9130434782609,434.39130434782606,0,8
1,9,957.25,434.0,0,9
1,10,939.7857142857143,437.2857142857143,0,10
1,11,923.5454545454545,435.6363636363636,0,11
1,12,944.6296296296297,437.55555555555554,0,12
1,13,967.9473684210526,435.7894736842105,0,13
1,14,953.75,437.125,0,14
1,15,962.5,436.9166666666667,0,15
1,16,973.5,436.5,0,16
1,17,909.9166666666666,438.6666666666667,0,17
1,18,912.875,438.125,0,18
1,19,935.8,438.0,0,19
1,20,960.75,439.75,0,20
1,21,929.8333333333334,440.3333333333333,0,21
1,22,951.9166666666666,439.75,0,22
1,23,972.6,440.3,0,23
1,24,934.8,440.6,0,24
1,25,968.1,440.05,0,25
1,26,1044.2173913043478,441.4782608695652,0,26
1,27,941.875,441.5,0,27
1,28,861.3,443.2,0,28
1,29,924.3448275862069,442.9655172413793,0,29
1,30,1045.625,445.0,0,30
1,31,919.7407407407408,446.18518518518516,0,31
1,32,940.1111111111111,444.22222222222223,0,32
1,33,947.2608695652174,445.69565217391306,0,33
1,34,977.0,446.0,0,34
1,35,1234.6875,446.0625,0,35
1,36,955.5555555555555,445.44444444444446,0,36
1,37,962.125,447.25,0,37
1,38,927.8823529411765,447.7647058823529,0,38
1,39,966.3478260869565,449.0869565217391,0,39
1,40,1232.5454545454545,448.0,0,40
1,41,953.375,449.09722222222223,0,41
1,42,860.063492063492,450.85714285714283,0,42
1,43,909.0,451.0,0,43
1,44,915.5909090909091,450.40909090909093,0,44
1,45,924.0526315789474,450.36842105263156,0,45
1,46,918.9583333333334,451.7083333333333,0,46
1,47,984.25,452.5833333333333,0,47
1,48,991.3846153846154,452.61538461538464,0,48
1,49,928.72,452.88,0,49
1,50,941.6363636363636,452.90909090909093,0,50
1,51,936.2,454.0,0,51
1,52,958.1935483870968,453.741935483871,0,52
1,53,1232.625,454.375,0,53
1,54,880.1666666666666,455.3333333333333,0,54
1,55,998.0769230769231,455.2307692307692,0,55
1,56,984.9,455.7,0,56
1,57,992.9090909090909,456.3181818181818,0,57
1,58,865.3125,457.4375,0,58
1,59,929.3636363636364,456.90909090909093,0,59
1,60,954.9375,457.5625,0,60
1,61,970.5833333333334,457.8333333333333,0,61
1,62,907.516129032258,457.83870967741933,0,62
1,63,936.2608695652174,458.04347826086956,0,63
1,64,965.2051282051282,457.71794871794873,0,64
1,65,998.5,458.0,0,65
1,66,1233.1052631578948,457.7368421052632,0,66
1,67,859.3283582089553,460.35820895522386,0,67
1,68,916.5,458.8,0,68
1,69,843.0,460.5,0,69
1,70,899.7894736842105,460.5263157894737,0,70
1,71,946.2857142857143,460.57142857142856,0,71
1,72,973.5,459.2,0,72
1,73,1080.8,460.0,0,73
1,74,1234.4285714285713,460.6666666666667,0,74
1,75,953.5,460.92857142857144,0,75
1,76,1249.6666666666667,463.5833333333333,0,76
1,77,844.1818181818181,464.1818181818182,0,77
1,78,849.0,464.8,0,78
1,79,866.8461538461538,464.2307692307692,0,79
1,80,1213.7777777777778,464.8888888888889,0,80
1,81,1234.2142857142858,463.7142857142857,0,81
1,82,837.3703703703703,465.3333333333333,0,82
1,83,974.8125,465.1875,0,83
1,84,1208.9545454545455,466.3181818181818,0,84
1,85,1263.7777777777778,464.44444444444446,0,85
1,86,1054.125,467.125,0,86
1,87,1247.15,467.0,0,87
1,88,849.0,468.15384615384613,0,88
1,89,907.3684210526316,467.10526315789474,0,89
1,90,938.2916666666666,467.9583333333333,0,90
1,91,835.4,468.9,0,91
1,92,883.5625,468.8125,0,92
1,93,934.875,468.875,0,93
1,94,943.7777777777778,468.5,0,94
1,95,1218.3333333333333,470.0,0,95
1,96,844.4666666666667,469.1333333333333,0,96
1,97,866.6521739130435,471.14130434782606,0,97
1,98,879.7727272727273,470.54545454545456,0,98
1,99,908.8571428571429,470.57142857142856,0,99
1,100,1007.5,470.0,0,100
1,101,1211.1176470588234,469.5882352941176,0,101
1,102,1251.0714285714287,468.7857142857143,0,102
1,103,1316.9545454545455,471.1363636363636,0,103
1,104,1363.7692307692307,469.2307692307692,0,104
1,105,855.1,471.2,0,105
1,106,871.5416666666666,472.0416666666667,0,106
1,107,895.25,471.25,0,107
1,108,938.3333333333334,472.0,0,108
1,109,887.6,471.64,0,109
1,110,1030.0,472.0,0,110
1,111,1238.6,472.45,0,111
1,112,848.0,473.0,0,112
1,113,859.7924528301887,471.9811320754717,0,113
1,114,884.3846153846154,472.3076923076923,0,114
1,115,893.4090909090909,473.40909090909093,0,115
1,116,904.375,472.375,0,116
1,117,1045.56,474.96,0,117
1,118,1198.391304347826,473.6521739130435,0,118
1,119,1272.0,474.0,0,119
1,120,1293.875,473.125,0,120
1,121,847.3076923076923,476.0,0,121
1,122,876.0857142857143,475.0,0,122
1,123,984.3333333333334,475.3333333333333,0,123
1,124,1012.75,474.5,0,124
1,125,1052.1836734693877,475.9591836734694,0,125
1,126,882.5333333333333,476.4,0,126
1,127,930.8333333333334,475.4583333333333,0,127
1,128,955.2222222222222,476.55555555555554,0,128
1,129,961.96,476.08,0,129
1,130,989.4137931034483,476.2413793103448,0,130
1,131,1036.2142857142858,476.85714285714283,0,131
1,132,1063.5238095238096,476.1904761904762,0,132
1,133,1192.71875,475.09375,0,133
1,134,1241.125,474.875,0,134
1,135,855.2857142857143,476.57142857142856,0,135
1,136,862.3529411764706,477.1764705882353,0,136
1,137,934.8888888888889,477.1111111111111,0,137
1,138,938.3076923076923,476.2307692307692,0,138
1,139,944.8333333333334,477.0,0,139
1,140,948.8125,476.625,0,140
1,141,1058.40625,477.84375,0,141
1,142,1200.875,476.875,0,142
1,143,1316.142857142857,477.2142857142857,0,143
1,144,878.8461538461538,478.53846153846155,0,144
1,145,887.4285714285714,478.57142857142856,0,145
1,146,919.96,477.88,0,146
1,147,1214.125,478.8125,0,147
1,148,1295.0714285714287,476.85714285714283,0,148
1,149,925.4285714285714,478.0357142857143,0,149
1,150,973.156862745098,479.01960784313724,0,150
1,151,981.2,478.7,0,151
1,152,1266.258064516129,478.3225806451613,0,152
1,153,915.3448275862069,480.37931034482756,0,153
1,154,929.3529411764706,479.6470588235294,0,154
1,155,952.3,480.1,0,155
1,156,988.0588235294117,480.4117647058824,0,156
1,157,992.45,480.75,0,157
1,158,1041.1041666666667,479.2708333333333,0,158
1,159,1049.8666666666666,480.6666666666667,0,159
1,160,1075.611111111111,480.6666666666667,0,160
1,161,1206.8055555555557,479.19444444444446,0,161
1,162,891.551724137931,480.6896551724138,0,162
1,163,1069.2564102564102,481.56410256410254,0,163
1,164,1073.0,481.3076923076923,0,164
1,165,874.4509803921569,481.3921568627451,0,165
1,166,924.2857142857143,482.5238095238095,0,166
1,167,930.075,483.675,0,167
1,168,977.5,482.65625,0,168
1,169,1008.1428571428571,482.35714285714283,0,169
1,170,1016.8421052631579,483.05263157894734,0,170
1,171,1046.2142857142858,481.7142857142857,0,171
1,172,882.6206896551724,482.9655172413793,0,172
1,173,919.5882352941177,482.70588235294116,0,173
1,174,936.7073170731708,482.5121951219512,0,174
1,175,1035.909090909091,483.3636363636364,0,175
1,176,1054.5,482.5,0,176
1,177,1058.642857142857,482.2857142857143,0,177
1,178,1063.888888888889,483.05555555555554,0,178
1,179,1098.6666666666667,482.44444444444446,0,179
1,180,1264.5454545454545,482.90909090909093,0,180
1,181,1269.8974358974358,483.61538461538464,0,181
1,182,1314.7619047619048,481.7142857142857,0,182
1,183,968.875,484.125,0,183
1,184,981.0,484.27272727272725,0,184
1,185,1012.7692307692307,482.9230769230769,0,185
1,186,1077.4117647058824,484.4117647058824,0,186
1,187,1192.8,484.0,0,187
1,188,1215.54,482.64,0,188
1,189,1259.5,485.75,0,189
1,190,1319.9,484.65,0,190
1,191,862.9285714285714,485.5,0,191
1,192,890.1351351351351,485.56756756756755,0,192
1,193,918.1052631578947,486.5263157894737,0,193
1,194,987.0714285714286,486.2142857142857,0,194
1,195,1013.2631578947369,486.2631578947368,0,195
1,196,1058.1818181818182,485.45454545454544,0,196
1,197,1208.68,485.36,0,197
1,198,1267.0,487.1818181818182,0,198
1,199,867.3,486.6,0,199
1,200,872.0930232558139,485.4186046511628,0,200
1,201,910.3846153846154,487.38461538461536,0,201
1,202,922.6818181818181,487.09090909090907,0,202
1,203,958.5294117647059,486.88235294117646,0,203
1,204,992.7777777777778,485.8095238095238,0,204
1,205,1073.2777777777778,486.55555555555554,0,205
1,206,1317.7272727272727,487.27272727272725,0,206
1,207,1353.3,486.3,0,207
1,208,857.2,488.5,0,208
1,209,914.7333333333333,488.53333333333336,0,209
1,210,968.0,487.5,0,210
1,211,1063.875,488.125,0,211
1,212,1309.6666666666667,487.8888888888889,0,212
1,213,1015.4705882352941,489.4117647058824,0,213
1,214,1194.888888888889,488.55555555555554,0,214
1,215,1215.5666666666666,489.1111111111111,0,215
1,216,1258.5,489.0,0,216
1,217,1269.6,488.7,0,217
1,218,874.125,490.125,0,218
1,219,880.21875,489.125,0,219
1,220,894.8965517241379,490.0689655172414,0,220
1,221,948.5909090909091,489.8636363636364,0,221
1,222,998.0597014925373,488.64179104477614,0,222
1,223,1067.6666666666667,489.5,0,223
1,224,888.433962264151,490.37735849056605,0,224
1,225,1072.625,492.0,0,225
1,226,1079.6363636363637,490.90909090909093,0,226
1,227,1266.0,491.0,0,227
1,228,839.5384615384615,492.0,0,228
1,229,858.5,491.875,0,229
1,230,1004.36,492.88,0,230
1,231,1020.1111111111111,491.3333333333333,0,231
1,232,1367.125,492.125,0,232
1,233,878.375,493.1666666666667,0,233
1,234,883.4,492.6,0,234
1,235,903.3809523809524,492.4761904761905,0,235
1,236,962.6969696969697,493.54545454545456,0,236
1,237,972.3333333333334,492.8888888888889,0,237
1,238,1099.5,493.0,0,238
1,239,1195.888888888889,492.55555555555554,0,239
1,240,1358.4,492.4,0,240
1,241,872.952380952381,493.6666666666667,0,241
1,242,897.64,496.56,0,242
1,243,915.5714285714286,495.57142857142856,0,243
1,244,1093.875,494.875,0,244
1,245,1209.5897435897436,494.2307692307692,0,245
1,246,951.0952380952381,496.23809523809524,0,246
1,247,1233.4285714285713,497.3809523809524,0,247
1,248,848.0,498.3333333333333,0,248
1,249,874.2666666666667,497.4,0,249
1,250,877.1,497.0,0,250
1,251,908.125,498.125,0,251
1,252,918.8125,498.5,0,252
1,253,1015.1111111111111,497.44444444444446,0,253
1,254,1077.875,499.125,0,254
1,255,905.125,499.875,0,255
1,256,956.75,500.3,0,256
1,257,1082.0,500.6,0,257
1,258,861.8823529411765,501.5882352941176,0,258
1,259,920.0,501.25,0,259
1,260,1091.5,501.125,0,260
1,261,868.8333333333334,502.1111111111111,0,261
1,262,893.5,501.625,0,262
1,263,928.0625,502.25,0,263
1,264,944.3478260869565,502.1304347826087,0,264
1,265,1222.0,502.38461538461536,0,265
1,266,1227.945945945946,502.13513513513516,0,266
1,267,901.5,503.0,0,267
1,268,939.4444444444445,503.1111111111111,0,268
1,269,947.9090909090909,502.90909090909093,0,269
1,270,991.8666666666667,502.53333333333336,0,270
1,271,997.4130434782609,503.95652173913044,0,271
1,272,865.1875,503.8125,0,272
1,273,905.1818181818181,503.45454545454544,0,273
1,274,1217.5,502.94444444444446,0,274
1,275,874.0714285714286,504.64285714285717,0,275
1,276,891.3,504.6,0,276
1,277,907.6666666666666,505.1111111111111,0,277
1,278,1002.1111111111111,504.8888888888889,0,278
1,279,1207.212765957447,503.88652482269504,0,279
1,280,870.0,505.77777777777777,0,280
1,281,942.7857142857143,505.92857142857144,0,281
1,282,889.1111111111111,508.05555555555554,0,282
1,283,863.2,508.4,0,283
1,284,878.7407407407408,508.14814814814815,0,284
1,285,945.6666666666666,507.1111111111111,0,285
1,286,1201.5,507.75,0,286
1,287,1228.1935483870968,507.06451612903226,0,287
1,288,869.1052631578947,509.2631578947368,0,288
1,289,874.4642857142857,509.7142857142857,0,289
1,290,939.2,508.8,0,290
1,291,1220.9166666666667,509.25,0,291
1,292,1312.054054054054,508.2162162162162,0,292
1,293,1208.6470588235295,511.3529411764706,0,293
1,294,1232.0,510.6666666666667,0,294
1,295,1251.6666666666667,510.8888888888889,0,295
1,296,1254.875,510.125,0,296
1,297,865.8888888888889,512.5555555555555,0,297
1,298,1260.9285714285713,511.42857142857144,0,298
1,299,867.5666666666667,514.9333333333333,0,299
1,300,880.0,512.5454545454545,0,300
1,301,978.75,512.625,0,301
1,302,1265.4375,512.75,0,302
1,303,831.25,513.625,0,303
1,304,874.32,513.96,0,304
1,305,1210.2857142857142,514.2857142857143,0,305
1,306,1315.3333333333333,514.25,0,306
1,307,1296.25,515.0,0,307
1,308,1253.090909090909,515.8181818181819,0,308
1,309,1277.8461538461538,516.5384615384615,0,309
1,310,845.2352941176471,518.1764705882352,0,310
1,311,932.5555555555555,518.1111111111111,0,311
1,312,1218.8333333333333,518.8333333333334,0,312
1,313,1315.6363636363637,517.3636363636364,0,313
1,314,1321.5,518.0,0,314
1,315,857.1904761904761,518.8571428571429,0,315
1,316,870.03125,518.5625,0,316
1,317,852.1,519.6,0,317
1,318,1230.2727272727273,520.0909090909091,0,318
1,319,1268.8461538461538,520.6153846153846,0,319
1,320,838.6153846153846,522.8461538461538,0,320
1,321,1220.642857142857,522.6428571428571,0,321
1,322,846.9411764705883,522.3529411764706,0,322
1,323,853.3421052631579,524.1052631578947,0,323
1,324,866.5,523.2083333333334,0,324
1,325,859.972602739726,522.4794520547945,0,325
1,326,926.125,524.875,0,326
1,327,1204.5,525.5,0,327
1,328,1277.0,526.375,0,328
1,329,1294.875,526.125,0,329
1,330,836.8666666666667,526.4666666666667,0,330
1,331,860.8833333333333,528.8666666666667,0,331
1,332,1236.9333333333334,527.8333333333334,0,332
1,333,1271.6666666666667,526.6666666666666,0,333
1,334,1332.1153846153845,527.5769230769231,0,334
1,335,844.9411764705883,528.9705882352941,0,335
1,336,849.9642857142857,528.7142857142857,0,336
1,337,875.6538461538462,529.0384615384615,0,337
1,338,1204.608695652174,530.2608695652174,0,338
1,339,1212.6153846153845,529.3846153846154,0,339
1,340,1271.125,528.875,0,340
1,341,1235.2,532.0666666666667,0,341
1,342,1296.3636363636363,531.9090909090909,0,342
1,343,1325.8461538461538,531.6153846153846,0,343
1,344,853.578947368421,532.7368421052631,0,344
1,345,1336.6923076923076,532.7692307692307,0,345
1,346,1203.8,534.0,0,346
1,347,1327.3846153846155,535.2307692307693,0,347
1,348,1331.0,536.0666666666667,0,348
1,349,819.875,539.875,0,349
1,350,1213.875,541.25,0,350
1,351,1286.1333333333334,541.0666666666667,0,351
1,352,1242.7391304347825,543.3913043478261,0,352
1,353,1209.7333333333333,543.4,0,353
1,354,1285.3469387755101,545.3673469387755,0,354
1,355,1272.25,546.75,0,355
1,356,1263.875,549.125,0,356
1,357,1299.3333333333333,550.7333333333333,0,357
1,358,1294.5,551.8,0,358
1,359,1303.0,550.65,0,359
1,360,1278.125,552.875,0,360
1,361,1304.375,554.375,0,361
1,362,1234.3333333333333,555.0,0,362
1,363,1299.36,554.56,0,363
1,364,1295.125,558.125,0,364
1,365,1300.875,559.25,0,365
1,366,1516.0,567.8,0,366
1,367,1296.3157894736842,567.2631578947369,0,367
1,368,1303.111111111111,568.6666666666666,0,368
1,369,1295.5294117647059,570.1176470588235,0,369
1,370,1513.0714285714287,570.0,0,370
1,371,1186.625,571.25,0,371
1,372,1246.8260869565217,570.0434782608696,0,372
1,373,1251.6666666666667,570.7777777777778,0,373
1,374,1518.75,572.75,0,374
1,375,1187.6470588235295,574.2941176470588,0,375
1,376,1293.36,573.76,0,376
1,377,1510.6666666666667,575.1111111111111,0,377
1,378,1824.909090909091,575.3636363636364,0,378
1,379,1282.7142857142858,576.0,0,379
1,380,1822.7777777777778,576.2222222222222,0,380
1,381,1250.0689655172414,577.1034482758621,0,381
1,382,1218.0666666666666,579.2,0,382
1,383,1254.6363636363637,580.9090909090909,0,383
1,384,1253.8333333333333,584.25,0,384
1,385,1527.45,591.9,0,385
1,386,1395.5,593.8,0,386
1,387,1201.5,596.5,0,387
1,388,1490.1818181818182,597.5,0,388
1,389,1388.8333333333333,598.0833333333334,0,389
1,390,1202.5294117647059,601.0294117647059,0,390
1,391,1151.9333333333334,604.0,0,391
1,392,1198.0,606.6153846153846,0,392
1,393,1200.2307692307693,609.3076923076923,0,393
1,394,1248.8666666666666,611.6,0,394
1,395,1533.0416666666667,610.25,0,395
1,396,1281.25,615.25,0,396
1,397,1451.8,614.9,0,397
1,398,1533.375,616.25,0,398
1,399,1536.1538461538462,616.0,0,399
1,400,1363.7,617.5,0,400
1,401,1422.0588235294117,616.1176470588235,0,401
1,402,1539.2727272727273,616.6363636363636,0,402
1,403,1522.5217391304348,617.8260869565217,0,403
1,404,1115.344827586207,617.8275862068965,0,404
1,405,1253.5454545454545,619.1818181818181,0,405
1,406,1256.5,619.0,0,406
1,407,1260.0,619.1111111111111,0,407
1,408,1370.1363636363637,619.1363636363636,0,408
1,409,1272.4375,621.625,0,409
1,410,1531.388888888889,621.1666666666666,0,410
1,411,1173.1538461538462,622.2307692307693,0,411
1,412,1177.0,621.5,0,412
1,413,1236.4074074074074,621.1851851851852,0,413
1,414,1514.96,620.64,0,414
1,415,1248.4,622.3714285714286,0,415
1,416,1500.25,622.9375,0,416
1,417,1241.5172413793102,624.0344827586207,0,417
1,418,1535.642857142857,623.0357142857143,0,418
1,419,1194.3636363636363,625.0909090909091,0,419
1,420,1229.8636363636363,625.1818181818181,0,420
1,421,1520.5,624.75,0,421
1,422,1272.4285714285713,625.75,0,422
1,423,1531.4444444444443,626.0,0,423
1,424,1203.4444444444443,626.2222222222222,0,424
1,425,1518.8333333333333,626.8333333333334,0,425
1,426,1570.0714285714287,627.0,0,426
1,427,1234.8181818181818,627.6,0,427
1,428,1244.5263157894738,627.9473684210526,0,428
1,429,1541.4,627.8666666666667,0,429
