ImageNumber,ObjectNumber,Children_FilterObjects_Count,Children_MaskedNuclei_Count,Children_RNA_Green_Count,Classify_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_RNA_Green_Location_Center_X,Mean_RNA_Green_Location_Center_Y,Mean_RNA_Green_Location_Center_Z,Mean_RNA_Green_Number_Object_Number,Number_Object_Number,Parent_Nuclei
1,59,0,1,0,0,1,935.0588235294117,433.7647058823529,0,nan,nan,nan,nan,59,49
1,60,0,1,0,0,1,957.7666666666667,433.6333333333333,0,nan,nan,nan,nan,60,49
1,61,0,0,0,0,1,1044.2307692307693,433.9230769230769,0,nan,nan,nan,nan,61,0
1,62,0,1,0,0,1,1248.195652173913,434.0869565217391,0,nan,nan,nan,nan,62,57
1,63,0,1,0,0,1,939.7692307692307,436.4871794871795,0,nan,nan,nan,nan,63,49
1,64,0,1,0,0,1,1222.4545454545455,435.8181818181818,0,nan,nan,nan,nan,64,50
1,65,0,1,0,0,1,1234.2941176470588,434.6470588235294,0,nan,nan,nan,nan,65,48
1,66,0,1,0,0,1,838.2777777777778,436.22222222222223,0,nan,nan,nan,nan,66,44
1,67,0,1,0,0,1,852.8461538461538,435.7692307692308,0,nan,nan,nan,nan,67,41
1,68,0,0,0,0,1,923.1463414634146,435.0,0,nan,nan,nan,nan,68,0
1,69,0,1,0,0,1,944.7333333333333,437.4,0,nan,nan,nan,nan,69,49
1,70,0,1,0,0,1,967.3333333333334,435.8333333333333,0,nan,nan,nan,nan,70,49
1,71,0,1,0,0,1,1241.9166666666667,434.75,0,nan,nan,nan,nan,71,57
1,72,0,0,0,0,1,930.5,436.5,0,nan,nan,nan,nan,72,0
1,73,0,1,0,0,1,949.5,437.0,0,nan,nan,nan,nan,73,49
1,74,0,1,0,0,1,953.8125,436.8125,0,nan,nan,nan,nan,74,49
1,75,0,1,0,0,1,962.6071428571429,436.32142857142856,0,nan,nan,nan,nan,75,49
1,76,0,0,0,0,1,973.9142857142857,436.8857142857143,0,nan,nan,nan,nan,76,0
1,77,0,0,0,0,1,828.3636363636364,438.09090909090907,0,nan,nan,nan,nan,77,0
1,78,0,0,0,0,1,909.55,438.25,0,nan,nan,nan,nan,78,0
1,79,0,0,0,0,1,913.95,436.85,0,nan,nan,nan,nan,79,0
1,80,0,1,0,0,1,935.2941176470588,437.29411764705884,0,nan,nan,nan,nan,80,49
1,81,0,0,0,0,1,985.2619047619048,437.0238095238095,0,nan,nan,nan,nan,81,0
1,82,0,0,0,0,1,1003.125,437.875,0,nan,nan,nan,nan,82,0
1,83,0,0,0,0,1,1049.2,438.5,0,nan,nan,nan,nan,83,0
1,84,0,1,0,0,1,960.7619047619048,440.0952380952381,0,nan,nan,nan,nan,84,49
1,85,0,0,0,0,1,1039.1,439.7,0,nan,nan,nan,nan,85,0
1,86,0,0,0,0,1,1052.2857142857142,438.5,0,nan,nan,nan,nan,86,0
1,87,0,1,0,0,1,1241.2,438.93333333333334,0,nan,nan,nan,nan,87,57
1,88,0,0,0,0,1,915.125,440.125,0,nan,nan,nan,nan,88,0
1,89,0,0,0,0,1,920.2222222222222,439.44444444444446,0,nan,nan,nan,nan,89,0
1,90,0,0,0,0,1,929.4516129032259,439.9032258064516,0,nan,nan,nan,nan,90,0
1,91,0,1,0,0,1,952.5714285714286,440.2857142857143,0,nan,nan,nan,nan,91,49
1,92,0,0,0,0,1,973.4782608695652,441.4782608695652,0,nan,nan,nan,nan,92,0
1,93,0,0,0,0,1,991.36,440.0,0,nan,nan,nan,nan,93,0
1,94,0,1,0,0,1,1233.357142857143,440.35714285714283,0,nan,nan,nan,nan,94,48
1,95,0,0,0,0,1,1259.735294117647,440.7647058823529,0,nan,nan,nan,nan,95,0
1,96,0,1,0,0,1,837.2857142857143,440.5,0,nan,nan,nan,nan,96,44
1,97,0,0,0,0,1,906.1666666666666,440.6666666666667,0,nan,nan,nan,nan,97,0
1,98,0,0,0,0,1,934.8095238095239,441.23809523809524,0,nan,nan,nan,nan,98,0
1,99,0,1,0,0,1,949.0,441.5,0,nan,nan,nan,nan,99,49
1,100,0,1,0,0,1,967.65625,440.46875,0,nan,nan,nan,nan,100,49
1,101,0,0,0,0,1,1034.75,440.6666666666667,0,nan,nan,nan,nan,101,0
1,102,0,0,0,0,1,1044.142857142857,441.3809523809524,0,nan,nan,nan,nan,102,0
1,103,0,1,0,0,1,1229.8823529411766,442.11764705882354,0,nan,nan,nan,nan,103,50
1,104,0,0,0,0,1,825.875,441.875,0,nan,nan,nan,nan,104,0
1,105,0,0,0,0,1,834.1666666666666,442.1666666666667,0,nan,nan,nan,nan,105,0
1,106,0,1,0,0,1,911.8571428571429,441.92857142857144,0,nan,nan,nan,nan,106,67
1,107,0,1,0,0,1,941.9,441.75,0,nan,nan,nan,nan,107,49
1,108,0,0,0,0,1,995.9032258064516,441.0,0,nan,nan,nan,nan,108,0
1,109,0,0,0,0,1,1052.2222222222222,442.1666666666667,0,nan,nan,nan,nan,109,0
1,110,0,1,0,0,1,1255.909090909091,442.0,0,nan,nan,nan,nan,110,57
1,111,0,0,0,0,1,850.5,443.0,0,nan,nan,nan,nan,111,0
1,112,0,1,0,0,1,861.68,442.8,0,nan,nan,nan,nan,112,62
1,113,0,1,0,0,1,909.0,443.0,0,nan,nan,nan,nan,113,67
1,114,0,1,0,0,1,915.9411764705883,443.2352941176471,0,nan,nan,nan,nan,114,67
1,115,0,1,0,0,1,959.4285714285714,443.2857142857143,0,nan,nan,nan,nan,115,49
1,116,0,0,0,0,1,988.6153846153846,443.2692307692308,0,nan,nan,nan,nan,116,0
1,117,0,0,0,0,1,924.5405405405405,442.72972972972974,0,nan,nan,nan,nan,117,0
1,118,0,0,0,0,1,931.6153846153846,443.7692307692308,0,nan,nan,nan,nan,118,0
1,119,0,0,0,0,1,1036.2,443.6,0,nan,nan,nan,nan,119,0
1,120,0,0,0,0,1,1045.4857142857143,445.34285714285716,0,nan,nan,nan,nan,120,0
1,121,0,0,0,0,1,1263.0,444.27272727272725,0,nan,nan,nan,nan,121,0
1,122,0,1,0,0,1,870.8,444.6,0,nan,nan,nan,nan,122,62
1,123,0,1,0,0,1,875.64,445.44,0,nan,nan,nan,nan,123,62
1,124,0,1,0,0,1,919.5625,445.84375,0,nan,nan,nan,nan,124,67
1,125,0,0,0,0,1,939.9565217391304,444.7391304347826,0,nan,nan,nan,nan,125,0
1,126,0,0,0,0,1,946.4761904761905,446.3095238095238,0,nan,nan,nan,nan,126,0
1,127,0,0,0,0,1,977.0,445.4864864864865,0,nan,nan,nan,nan,127,0
1,128,0,0,0,0,1,991.55,446.95,0,nan,nan,nan,nan,128,0
1,129,0,1,0,0,1,1234.9655172413793,445.62068965517244,0,nan,nan,nan,nan,129,57
1,130,0,0,0,0,1,828.25,447.125,0,nan,nan,nan,nan,130,0
1,131,0,0,0,0,1,856.9166666666666,446.75,0,nan,nan,nan,nan,131,0
1,132,0,1,0,0,1,880.7058823529412,447.2352941176471,0,nan,nan,nan,nan,132,62
1,133,0,1,0,0,1,911.9130434782609,447.17391304347825,0,nan,nan,nan,nan,133,67
1,134,0,1,0,0,1,955.375,444.5625,0,nan,nan,nan,nan,134,49
1,135,0,0,0,0,1,961.4736842105264,447.1578947368421,0,nan,nan,nan,nan,135,0
1,136,0,0,0,0,1,981.7692307692307,446.7692307692308,0,nan,nan,nan,nan,136,0
1,137,0,0,0,0,1,1051.1666666666667,447.0,0,nan,nan,nan,nan,137,0
1,138,0,0,0,0,1,1261.1,446.6,0,nan,nan,nan,nan,138,0
1,139,0,1,0,0,1,802.25,448.125,0,nan,nan,nan,nan,139,63
1,140,0,0,0,0,1,928.2727272727273,447.54545454545456,0,nan,nan,nan,nan,140,0
1,141,0,0,0,0,1,932.0769230769231,447.84615384615387,0,nan,nan,nan,nan,141,0
1,142,0,0,0,0,1,942.1333333333333,448.46666666666664,0,nan,nan,nan,nan,142,0
1,143,0,1,0,0,1,966.9117647058823,449.6617647058824,0,nan,nan,nan,nan,143,72
1,144,0,0,0,0,1,995.2352941176471,447.8235294117647,0,nan,nan,nan,nan,144,0
1,145,0,0,0,0,1,1005.8888888888889,448.22222222222223,0,nan,nan,nan,nan,145,0
1,146,0,0,0,0,1,937.3333333333334,448.6666666666667,0,nan,nan,nan,nan,146,0
1,147,0,0,0,0,1,999.3214285714286,448.17857142857144,0,nan,nan,nan,nan,147,0
1,148,0,0,0,0,1,1042.2857142857142,448.5,0,nan,nan,nan,nan,148,0
1,149,0,0,0,0,1,1049.0526315789473,449.2105263157895,0,nan,nan,nan,nan,149,0
1,150,0,1,0,0,1,1232.125,448.125,0,nan,nan,nan,nan,150,57
1,151,0,0,0,0,1,853.6153846153846,450.15384615384613,0,nan,nan,nan,nan,151,0
1,152,0,0,0,0,1,953.1777777777778,449.27777777777777,0,nan,nan,nan,nan,152,0
1,153,0,0,0,0,1,973.4571428571429,450.1142857142857,0,nan,nan,nan,nan,153,0
1,154,0,0,0,0,1,836.6,451.6,0,nan,nan,nan,nan,154,0
1,155,0,1,0,0,1,859.8817204301075,451.18279569892474,0,nan,nan,nan,nan,155,62
1,156,0,1,0,0,1,909.0,451.2758620689655,0,nan,nan,nan,nan,156,67
1,157,0,1,0,0,1,915.1379310344828,450.37931034482756,0,nan,nan,nan,nan,157,67
1,158,0,1,0,0,1,923.8245614035088,452.1929824561403,0,nan,nan,nan,nan,158,75
1,159,0,0,0,0,1,1045.2142857142858,451.2142857142857,0,nan,nan,nan,nan,159,0
1,160,0,0,0,0,1,1213.125,451.25,0,nan,nan,nan,nan,160,0
1,161,0,1,0,0,1,1711.0,451.0,0,nan,nan,nan,nan,161,55
1,162,0,0,0,0,1,846.2,452.53333333333336,0,nan,nan,nan,nan,162,0
1,163,0,1,0,0,1,880.8846153846154,450.96153846153845,0,nan,nan,nan,nan,163,62
1,164,0,1,0,0,1,895.421052631579,451.42105263157896,0,nan,nan,nan,nan,164,67
1,165,0,1,0,0,1,918.4722222222222,452.80555555555554,0,nan,nan,nan,nan,165,67
