ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_RNA_Red
1,306,2808.818181818182,2844.4545454545455,0,306,11627
1,307,2820.125,2844.75,0,307,11628
1,308,2835.0,2844.75,0,308,11629
1,309,2847.6,2844.65,0,309,11630
1,310,2863.0,2844.75,0,310,11631
1,311,2813.5,2845.0,0,311,11632
1,312,2829.5,2845.0,0,312,11634
1,313,2841.5,2845.0,0,313,11635
1,314,2854.8214285714284,2845.035714285714,0,314,11636
1,315,2869.5,2845.0,0,315,11637
1,316,2874.714285714286,2844.5714285714284,0,316,11638
