Channel_rawdata,Count_Nuclei,Count_RNA,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06IdentifyPrimaryObjects,ExecutionTime_07EnhanceOrSuppressFeatures,ExecutionTime_08IdentifyPrimaryObjects,FileName_rawdata,Frame_rawdata,Group_Index,Group_Number,Height_rawdata,ImageNumber,ImageSet_ImageSet,MD5Digest_rawdata,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05ColorToGray,ModuleError_06IdentifyPrimaryObjects,ModuleError_07EnhanceOrSuppressFeatures,ModuleError_08IdentifyPrimaryObjects,PathName_rawdata,ProcessingStatus,Scaling_rawdata,Series_rawdata,Threshold_FinalThreshold_Nuclei,Threshold_FinalThreshold_RNA,Threshold_OrigThreshold_Nuclei,Threshold_OrigThreshold_RNA,Threshold_SumOfEntropies_Nuclei,Threshold_SumOfEntropies_RNA,Threshold_WeightedVariance_Nuclei,Threshold_WeightedVariance_RNA,URL_rawdata,Width_rawdata
-2,7.0,2476.0,0.0,0.0,2.7799999999999994,0.0,0.7100000000000009,28.189999999999998,5.560000000000002,4.660000000000004,RNAscope d30r1 tujhes_C2_ch01.tif,0,1,1,2851,1,b'eLslgP8esxnNFDTOFIZ6QFXgRA1zFtDvIOswMwqIAXaXnQ0iwQWlplEpzYPcALYZRIPDFsgARw3OpE6TvKcACtTigsTkVHJNAwYQcsaFmm2jjyxoA8nOukY2+tCMrY/qG6AADl+DUq8dAIMNBp4=',9fe7210a5be893e08d02ae666635a200,file:/Users/nik/Desktop/tif/RNAscope%20d30r1%20tujhes_C2_ch01.tif,0,0,0,0,0,0,0,0,0,0,/Users/nik/Desktop/tif,Done,255,0,0.0,0.4,0.0,0.4,0.0,-12.63969292782593,0.0013140556402504444,3.7139591529634153,file:/Users/nik/Desktop/tif/RNAscope%20d30r1%20tujhes_C2_ch01.tif,2887
-2,7.0,2.0,0.0,0.0,3.620000000000001,0.0,0.9499999999999993,35.61,6.119999999999997,4.210000000000001,RNAscope d30r1 tujhes_C2_ch02.tif,0,2,1,2851,2,b'eLslgP8esxnNFDTOFEZ6QFXgRA1zFtDvIOswMwqIAXaXnQ0iwQWlplEpzYPcALYZRIPDFsgARw3OpE6TvKcACtTigsTkVHJNAwYQcsaFmm2jjyxoA8nOukY2+tCMrY/qG6AADl+DUq8dAITFBp8=',5b53a24f5f2c74396ef88ff4a2e42c2d,file:/Users/nik/Desktop/tif/RNAscope%20d30r1%20tujhes_C2_ch02.tif,0,0,0,0,0,0,0,0,0,0,/Users/nik/Desktop/tif,Done,255,0,0.0,0.4,0.0,0.4,0.0,-7.43852199663644,0.0013140556402504444,0.0008094442829207591,file:/Users/nik/Desktop/tif/RNAscope%20d30r1%20tujhes_C2_ch02.tif,2887
-2,4693.0,2.0,0.0,0.0,2.039999999999999,0.0,0.75,8.480000000000004,7.259999999999998,5.210000000000015,RNAscope d30r1 tujhes_C2_ch03.tif,0,3,1,2851,3,b'eLslgP8esxnNFDTOFMZ6QFXgRA1zFtDvIOswMwqIAXaXnQ0iwQWlplEpzYPcALYZRIPDFsgARw3OpE6TvKcACtTigsTkVHJNAwYQcsaFmm2jjyxoA8nOukY2+tCMrY/qG6AADl+DUq8dAIZ9BqA=',b5c4d0d2e48d09dcefb83db2a1e7ec99,file:/Users/nik/Desktop/tif/RNAscope%20d30r1%20tujhes_C2_ch03.tif,0,0,0,0,0,0,0,0,0,0,/Users/nik/Desktop/tif,Done,255,0,0.18642979860305786,0.4,0.1864298,0.4,-11.16186781278168,-7.43852199663644,0.7331865202142054,0.0008094442829207591,file:/Users/nik/Desktop/tif/RNAscope%20d30r1%20tujhes_C2_ch03.tif,2887
