ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_TUJWithinDAPI
1,1,822.578947368421,409.2631578947368,0,1,83
1,2,817.4166666666666,411.6666666666667,0,2,86
1,3,824.9090909090909,415.6363636363636,0,3,91
1,4,839.3529411764706,425.47058823529414,0,4,98
1,5,1220.8529411764705,467.9117647058824,0,5,159
1,6,1224.0,473.5,0,6,175
1,7,1229.642857142857,473.6666666666667,0,7,176
1,8,1235.1538461538462,476.4230769230769,0,8,186
1,9,1247.0,481.14285714285717,0,9,197
1,10,1296.875,481.125,0,10,198
1,11,1239.3725490196077,481.70588235294116,0,11,204
1,12,1243.4666666666667,483.46666666666664,0,12,205
1,13,1296.90625,485.75,0,13,211
1,14,1236.2391304347825,486.80434782608694,0,14,215
1,15,1300.5882352941176,487.88235294117646,0,15,216
1,16,1298.3823529411766,492.1470588235294,0,16,229
1,17,1299.7692307692307,495.9230769230769,0,17,237
1,18,1475.05,709.7,0,18,560
1,19,1479.6923076923076,711.7692307692307,0,19,570
1,20,1543.4770642201836,719.0366972477065,0,20,602
1,21,1418.2222222222222,736.6666666666666,0,21,695
1,22,770.0666666666667,744.2666666666667,0,22,734
1,23,772.4444444444445,748.75,0,23,744
1,24,784.0,768.1,0,24,840
1,25,789.6538461538462,765.1153846153846,0,25,841
1,26,1479.0,772.1923076923077,0,26,873
1,27,1483.4444444444443,771.6296296296297,0,27,874
1,28,791.1111111111111,781.9444444444445,0,28,929
1,29,795.4736842105264,782.8947368421053,0,29,936
1,30,801.7899159663865,785.8739495798319,0,30,957
1,31,792.0833333333334,788.4375,0,31,974
1,32,801.0,790.9090909090909,0,32,994
1,33,1501.9285714285713,808.5714285714286,0,33,1078
1,34,815.8,818.0941176470589,0,34,1100
1,35,742.1333333333333,874.7111111111111,0,35,1260
1,36,735.516129032258,879.741935483871,0,36,1283
1,37,798.9333333333333,882.3333333333334,0,37,1292
1,38,731.8666666666667,883.5666666666667,0,38,1296
1,39,802.0,885.8148148148148,0,39,1305
1,40,822.4615384615385,912.3846153846154,0,40,1397
1,41,1152.076923076923,962.4615384615385,0,41,1459
1,42,1138.5833333333333,969.2083333333334,0,42,1466
1,43,1167.5555555555557,971.6666666666666,0,43,1473
1,44,1138.9,971.9,0,44,1478
1,45,1288.6153846153845,977.6153846153846,0,45,1484
1,46,1292.0,978.8461538461538,0,46,1485
1,47,1326.2702702702702,1000.8108108108108,0,47,1512
1,48,1127.888888888889,1006.3333333333334,0,48,1526
1,49,1242.6153846153845,1009.9230769230769,0,49,1531
1,50,519.7619047619048,1026.095238095238,0,50,1560
1,51,1269.1818181818182,1029.1363636363637,0,51,1568
1,52,1272.25,1036.9375,0,52,1586
1,53,1256.6060606060605,1038.1515151515152,0,53,1589
1,54,1269.6470588235295,1038.8235294117646,0,54,1592
1,55,1257.4285714285713,1041.6190476190477,0,55,1593
1,56,1265.642857142857,1041.7142857142858,0,56,1594
1,57,1273.7307692307693,1042.6923076923076,0,57,1595
1,58,1297.2608695652175,1049.0434782608695,0,58,1602
1,59,1295.9473684210527,1053.8947368421052,0,59,1622
1,60,1293.7727272727273,1059.1363636363637,0,60,1632
1,61,438.25,1092.625,0,61,1688
1,62,491.5,1097.1666666666667,0,62,1698
1,63,452.14814814814815,1136.962962962963,0,63,1757
1,64,431.6818181818182,1152.7727272727273,0,64,1787
1,65,433.9555555555556,1157.888888888889,0,65,1803
1,66,655.6666666666666,1157.5333333333333,0,66,1805
1,67,657.8846153846154,1175.5,0,67,1843
1,68,371.13157894736844,1181.4736842105262,0,68,1856
1,69,408.34,1190.4,0,69,1888
1,70,393.8,1211.7,0,70,1928
1,71,401.17241379310343,1214.6896551724137,0,71,1939
1,72,556.2142857142857,1218.3333333333333,0,72,1957
1,73,556.551724137931,1223.0,0,73,1968
1,74,558.0909090909091,1229.3636363636363,0,74,1996
1,75,568.0416666666666,1230.6666666666667,0,75,2000
