ImageNumber,ObjectNumber,Children_GreenWithinDAPI_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,1,0,965.5454545454545,387.6363636363636,0,1,0
1,2,1,1651.8,411.5,0,2,39
1,3,1,818.125,412.875,0,3,40
1,4,1,833.875,413.875,0,4,38
1,5,1,821.8333333333334,413.25,0,5,40
1,6,1,825.75,415.4166666666667,0,6,38
1,7,1,818.625,418.0,0,7,40
1,8,1,857.0,421.5,0,8,41
1,9,1,839.5,424.7142857142857,0,9,44
1,10,0,785.4814814814815,462.5925925925926,0,10,0
1,11,1,1223.1666666666667,468.9166666666667,0,11,81
1,12,1,1226.2857142857142,471.3809523809524,0,12,81
1,13,1,1235.909090909091,476.1818181818182,0,13,73
1,14,1,1299.5,482.5,0,14,106
1,15,1,1243.2142857142858,483.0,0,15,85
1,16,1,1302.0,484.0,0,16,106
1,17,1,1236.7777777777778,485.8888888888889,0,17,81
1,18,1,1298.7692307692307,494.7692307692308,0,18,106
1,19,1,2270.181818181818,558.4545454545455,0,19,224
1,20,0,2248.7,561.3,0,20,0
1,21,1,2302.5,568.0,0,21,253
1,22,1,2225.1111111111113,682.6666666666666,0,22,464
1,23,1,1510.375,685.3125,0,23,410
1,24,1,1515.25,685.3333333333334,0,24,410
1,25,1,2227.3333333333335,685.8888888888889,0,25,429
1,26,1,1513.7857142857142,689.5714285714286,0,26,410
1,27,1,1462.125,702.875,0,27,479
1,28,1,1478.5294117647059,707.1176470588235,0,28,479
1,29,1,1480.7857142857142,710.6428571428571,0,29,479
1,30,1,1464.0,714.0,0,30,479
1,31,1,1549.2,714.0,0,31,512
1,32,1,1493.3,723.3,0,32,479
1,33,1,1419.909090909091,736.3636363636364,0,33,539
1,34,0,1554.6363636363637,745.9090909090909,0,34,0
1,35,1,770.3846153846154,746.6153846153846,0,35,572
1,36,1,1474.6666666666667,747.8888888888889,0,36,606
1,37,1,1415.111111111111,748.6666666666666,0,37,539
1,38,0,1561.2,748.5,0,38,0
1,39,1,787.7142857142857,766.5,0,39,607
1,40,1,1482.0,770.5,0,40,606
1,41,1,793.8928571428571,784.3928571428571,0,41,607
1,42,1,791.8888888888889,788.5555555555555,0,42,624
1,43,1,794.8461538461538,790.5384615384615,0,43,624
1,44,1,798.1666666666666,792.1666666666666,0,44,624
1,45,1,1498.875,808.125,0,45,623
1,46,1,1503.0,808.0,0,46,623
1,47,1,813.125,820.125,0,47,647
1,48,1,750.125,821.5,0,48,635
1,49,1,940.5,836.0,0,49,678
1,50,1,736.9354838709677,876.9354838709677,0,50,704
1,51,1,734.074074074074,882.5555555555555,0,51,704
1,52,1,799.75,884.625,0,52,714
1,53,1,825.0,913.0,0,53,748
1,54,1,1151.8,954.5,0,54,800
1,55,1,1149.111111111111,961.9444444444445,0,55,800
1,56,1,1052.75,963.5833333333334,0,56,835
1,57,1,733.125,968.125,0,57,816
1,58,1,1143.7142857142858,968.8571428571429,0,58,831
1,59,1,1139.2307692307693,971.7692307692307,0,59,831
1,60,1,1207.0,971.0,0,60,830
1,61,1,1165.5,973.0,0,61,846
1,62,1,1208.875,975.125,0,62,830
1,63,1,1291.642857142857,978.2857142857143,0,63,836
1,64,1,1299.7222222222222,979.9444444444445,0,64,836
1,65,1,1291.578947368421,989.2631578947369,0,65,836
1,66,1,1296.2727272727273,990.2727272727273,0,66,836
1,67,1,1322.0,1001.5,0,67,867
1,68,1,1325.6666666666667,1001.7777777777778,0,68,867
1,69,1,1223.5,1003.2,0,69,863
1,70,1,1131.0,1005.0,0,70,874
1,71,1,1127.8333333333333,1009.6666666666666,0,71,904
1,72,1,1242.5,1011.2857142857143,0,72,893
1,73,1,1139.2,1019.0,0,73,904
1,74,1,1160.875,1018.875,0,74,919
1,75,1,1236.9166666666667,1019.25,0,75,893
1,76,1,520.741935483871,1022.258064516129,0,76,912
1,77,1,516.6666666666666,1023.1111111111111,0,77,912
1,78,1,1333.4,1027.4,0,78,932
1,79,1,1264.8235294117646,1027.4705882352941,0,79,902
1,80,1,1261.7692307692307,1029.3076923076924,0,80,902
1,81,1,1244.875,1031.125,0,81,893
1,82,1,1265.909090909091,1031.909090909091,0,82,902
1,83,1,1269.235294117647,1034.8823529411766,0,83,930
1,84,1,1249.8333333333333,1037.9166666666667,0,84,937
1,85,1,1245.35,1037.7,0,85,929
1,86,1,1271.4545454545455,1039.2272727272727,0,86,930
1,87,1,1251.5384615384614,1040.8461538461538,0,87,937
1,88,1,1265.0,1041.0,0,88,930
1,89,1,1248.125,1041.875,0,89,937
1,90,1,1274.6153846153845,1042.8076923076924,0,90,930
1,91,1,325.0,1044.8,0,91,933
1,92,1,1226.4,1046.6,0,92,929
1,93,1,1234.0625,1048.0,0,93,929
1,94,1,1298.090909090909,1048.3636363636363,0,94,925
1,95,1,1275.6818181818182,1047.7727272727273,0,95,930
1,96,1,1292.9,1049.7,0,96,925
1,97,1,1249.2,1049.75,0,97,937
1,98,1,1245.6666666666667,1050.0666666666666,0,98,937
1,99,1,571.7142857142857,1053.357142857143,0,99,946
1,100,1,1154.875,1052.125,0,100,948
1,101,1,1291.9285714285713,1056.2857142857142,0,101,930
1,102,1,1225.125,1061.125,0,102,949
1,103,0,1348.125,1063.125,0,103,0
1,104,1,554.3333333333334,1065.888888888889,0,104,954
1,105,0,1440.875,1069.125,0,105,0
1,106,1,1322.8181818181818,1071.8181818181818,0,106,975
1,107,0,416.5,1077.5,0,107,0
1,108,1,1449.05,1077.1,0,108,976
