ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_TUJWithinDAPI
1,1,2804.5454545454545,435.8181818181818,0,1,38
1,2,2576.133333333333,446.43333333333334,0,2,64
1,3,2583.777777777778,445.77777777777777,0,3,67
1,4,2605.66,452.32,0,4,82
1,5,2612.5263157894738,452.57894736842104,0,5,98
1,6,2591.5454545454545,455.54545454545456,0,6,105
1,7,2588.75,458.3125,0,7,129
1,8,2584.782608695652,464.60869565217394,0,8,151
1,9,2582.8888888888887,467.55555555555554,0,9,164
1,10,2618.1111111111113,472.3333333333333,0,10,174
1,11,2621.214285714286,476.35714285714283,0,11,200
1,12,2617.285714285714,480.7857142857143,0,12,210
1,13,2621.3030303030305,484.54545454545456,0,13,219
1,14,2542.0,508.72727272727275,0,14,292
1,15,2544.75,513.4,0,15,306
1,16,2674.740740740741,524.5925925925926,0,16,345
1,17,2676.470588235294,527.4705882352941,0,17,357
1,18,2669.4285714285716,529.047619047619,0,18,368
1,19,2443.375,542.8333333333334,0,19,421
1,20,2447.7428571428572,548.0285714285715,0,20,447
1,21,2474.0,550.0,0,21,448
1,22,2413.9655172413795,621.1551724137931,0,22,727
1,23,2500.0,636.0,0,23,855
1,24,1818.764705882353,644.0882352941177,0,24,908
1,25,1815.8275862068965,648.6551724137931,0,25,926
1,26,2505.0833333333335,655.3333333333334,0,26,987
1,27,1827.8181818181818,654.3939393939394,0,27,996
1,28,2440.176470588235,657.3823529411765,0,28,1023
1,29,2437.0714285714284,658.7857142857143,0,29,1035
1,30,2502.7,659.6,0,30,1036
1,31,1826.9411764705883,659.5882352941177,0,31,1042
1,32,1814.2972972972973,662.6756756756756,0,32,1076
1,33,1794.6315789473683,665.0526315789474,0,33,1108
1,34,1814.2105263157894,667.7631578947369,0,34,1120
1,35,1796.8333333333333,671.0,0,35,1170
1,36,2463.230769230769,672.3846153846154,0,36,1181
1,37,1795.9375,675.53125,0,37,1199
1,38,1800.6363636363637,677.5454545454545,0,38,1223
1,39,1807.5454545454545,681.8545454545455,0,39,1289
1,40,3274.897435897436,683.2051282051282,0,40,1298
1,41,2493.0,686.5,0,41,1334
1,42,3270.777777777778,688.0370370370371,0,42,1408
1,43,1537.642857142857,693.4642857142857,0,43,1441
1,44,1904.8125,722.6875,0,44,1887
1,45,1911.0,724.0,0,45,1915
1,46,2376.4545454545455,727.1818181818181,0,46,1978
1,47,1814.9,740.3666666666667,0,47,2173
1,48,1810.3764705882354,744.3058823529411,0,48,2206
1,49,1995.391304347826,739.5217391304348,0,49,2208
1,50,1781.3783783783783,744.7837837837837,0,50,2257
1,51,1995.0666666666666,744.4,0,51,2261
1,52,1777.2105263157894,747.9473684210526,0,52,2316
1,53,2063.9772727272725,748.4886363636364,0,53,2323
