ImageNumber,ObjectNumber,Children_GreenWithinDAPI_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,114,1,2494.6666666666665,684.7333333333333,0,114,385
1,115,1,2475.0,686.0,0,115,412
1,116,1,1524.0,688.0,0,116,423
1,117,1,2439.8888888888887,687.6666666666666,0,117,414
1,118,0,2339.3,692.2,0,118,0
1,119,1,2497.5,694.0,0,119,385
1,120,1,1537.6666666666667,694.5333333333333,0,120,450
1,121,0,2334.8,698.5,0,121,0
1,122,1,2339.3333333333335,698.5555555555555,0,122,452
1,123,1,2354.0,701.0,0,123,464
1,124,1,3214.769230769231,706.7692307692307,0,124,466
1,125,1,2560.5384615384614,709.4615384615385,0,125,480
1,126,1,2488.714285714286,709.5,0,126,474
1,127,0,2375.3636363636365,713.0909090909091,0,127,0
1,128,1,2339.8888888888887,713.6666666666666,0,128,555
1,129,0,2379.0,714.0,0,129,0
1,130,1,1509.3846153846155,723.3846153846154,0,130,530
1,131,1,1908.7,724.3,0,131,516
1,132,1,2343.5,727.0,0,132,555
1,133,1,2374.0,727.5,0,133,584
1,134,1,2353.0,733.0,0,134,555
1,135,1,1810.5,740.0,0,135,546
1,136,1,1993.8181818181818,741.5454545454545,0,136,592
1,137,1,1779.5,745.0,0,137,634
1,138,0,2350.875,744.875,0,138,0
1,139,1,2061.125,745.875,0,139,598
1,140,1,1713.7,748.3,0,140,665
1,141,1,2369.8,748.0,0,141,574
1,142,1,2374.3076923076924,747.4615384615385,0,142,584
1,143,1,2351.0,750.2,0,143,658
1,144,1,2402.5,750.5,0,144,635
1,145,1,2523.5,751.5,0,145,618
1,146,1,1807.157894736842,752.8421052631579,0,146,634
1,147,1,1751.0833333333333,753.3333333333334,0,147,653
1,148,1,1743.6666666666667,754.4444444444445,0,148,578
1,149,1,1810.4545454545455,758.3636363636364,0,149,634
1,150,1,2370.6666666666665,757.8888888888889,0,150,663
1,151,1,2041.875,759.875,0,151,598
1,152,1,2394.214285714286,760.1428571428571,0,152,635
1,153,1,1615.888888888889,761.3333333333334,0,153,652
1,154,1,2115.0,761.0,0,154,609
1,155,1,1646.0,761.5,0,155,652
1,156,1,2388.1666666666665,762.0,0,156,635
1,157,1,1759.6666666666667,762.75,0,157,630
1,158,1,1794.4705882352941,762.8823529411765,0,158,634
1,159,0,2412.125,765.125,0,159,0
1,160,1,1769.111111111111,766.6666666666666,0,160,695
1,161,1,1796.5,766.0,0,161,634
1,162,1,2082.0,766.9090909090909,0,162,639
1,163,1,1642.3333333333333,769.1111111111111,0,163,714
1,164,1,2085.4444444444443,769.1111111111111,0,164,639
1,165,1,2255.5,769.2857142857143,0,165,675
1,166,1,2561.0,769.5,0,166,667
1,167,1,2576.6666666666665,769.3333333333334,0,167,613
1,168,1,2068.25,769.6666666666666,0,168,759
1,169,1,2287.875,769.875,0,169,694
1,170,1,2072.125,770.875,0,170,696
1,171,1,2408.5454545454545,771.6363636363636,0,171,635
1,172,1,2572.6666666666665,771.8888888888889,0,172,720
1,173,1,2399.5,773.5,0,173,677
1,174,1,2481.25,773.5,0,174,729
1,175,1,2492.125,774.875,0,175,736
1,176,1,1715.0714285714287,775.8571428571429,0,176,665
1,177,1,1737.3846153846155,775.6153846153846,0,177,653
1,178,1,2529.875,776.125,0,178,752
1,179,1,3209.1111111111113,775.3333333333334,0,179,713
1,180,1,2001.8666666666666,777.4666666666667,0,180,712
1,181,1,1866.125,778.875,0,181,746
1,182,1,2049.285714285714,778.5,0,182,759
1,183,1,2405.6875,778.1875,0,183,767
1,184,1,2072.3333333333335,779.0,0,184,766
1,185,1,2075.785714285714,779.6428571428571,0,185,766
1,186,1,2562.3846153846152,779.6153846153846,0,186,720
1,187,1,1745.6153846153845,781.6153846153846,0,187,630
1,188,1,2398.875,781.125,0,188,767
1,189,1,2483.0,781.5,0,189,736
1,190,1,2544.5263157894738,780.8421052631579,0,190,752
1,191,1,1833.3333333333333,782.8888888888889,0,191,710
1,192,1,2042.0,783.5,0,192,739
1,193,1,2093.3684210526317,785.1052631578947,0,193,728
1,194,1,2118.0,785.0,0,194,744
1,195,1,1994.0,786.0,0,195,765
1,196,1,1981.0,788.1052631578947,0,196,726
1,197,1,2094.925925925926,788.7407407407408,0,197,728
1,198,1,2577.1111111111113,788.6666666666666,0,198,720
1,199,1,2017.3846153846155,789.6153846153846,0,199,757
1,200,1,1684.888888888889,791.3333333333334,0,200,789
1,201,1,2089.4117647058824,792.1176470588235,0,201,804
1,202,1,2485.3636363636365,791.9090909090909,0,202,801
1,203,1,1679.4166666666667,793.25,0,203,789
1,204,1,2082.8888888888887,794.3333333333334,0,204,766
1,205,1,2462.5263157894738,795.1052631578947,0,205,785
1,206,1,1727.1818181818182,796.5454545454545,0,206,792
1,207,1,1801.5384615384614,795.6153846153846,0,207,770
1,208,1,2105.0588235294117,795.7647058823529,0,208,744
1,209,1,2591.2,795.6,0,209,806
1,210,1,1998.0,796.9090909090909,0,210,765
1,211,1,2026.7058823529412,796.8823529411765,0,211,757
1,212,1,2035.4166666666667,796.6666666666666,0,212,759
1,213,1,2131.6666666666665,797.6666666666666,0,213,783
1,214,1,2236.3076923076924,796.5384615384615,0,214,822
1,215,1,1709.875,797.875,0,215,792
1,216,1,2092.875,799.125,0,216,804
1,217,1,1824.888888888889,800.1111111111111,0,217,770
1,218,1,2023.8333333333333,800.4444444444445,0,218,757
1,219,1,1800.5,801.3666666666667,0,219,770
1,220,1,1660.6666666666667,802.1111111111111,0,220,821
1,221,1,2027.6666666666667,801.25,0,221,900
1,222,1,2037.3636363636363,802.0909090909091,0,222,900
1,223,1,1705.392857142857,803.9285714285714,0,223,792
1,224,1,2076.0,803.5,0,224,766
1,225,1,2126.25,803.3333333333334,0,225,744
